Plot,Stand,Tree_ID,D_LT
4,Open,1,82.1
4,Open,2,86.7
17,Dense,1,56.8
17,Dense,2,66.1
17,Dense,3,59.5
17,Dense,4,53.5
17,Dense,5,39.8
17,Dense,6,56.8
18,Open,1,65.3
18,Open,2,85.1
31,Dense,1,49.6
31,Dense,2,43.2
31,Dense,3,55.2
31,Dense,4,44.7
31,Dense,5,59.7
31,Dense,6,49.4
31,Dense,7,44.1
48,Dense,1,59.9
48,Dense,2,49.1
48,Dense,3,39.8
48,Dense,4,45.5
48,Dense,5,47.6
48,Dense,6,58.9
52,Open,1,66.8
52,Open,2,70.1
68,Dense,1,31.3
68,Dense,2,57.6
68,Dense,3,45.1
68,Dense,4,62.2
68,Dense,5,42.1
68,Dense,6,44.2
78,Open,1,76.3
78,Open,2,71.9
86,Open,1,73.3
86,Open,2,79.9
86,Open,3,93.6
90,Open,1,74.7
100,Dense,1,59.8
100,Dense,2,47.9
100,Dense,3,40.8
100,Dense,4,52.7
100,Dense,5,53.6
100,Dense,6,58.6
100,Dense,7,55.6
103,Open,1,78.5
114,Open,1,66.7
114,Open,2,73.3
119,Open,1,46.2
119,Open,2,45.3
119,Dense,3,47.8
119,Dense,4,42.5
119,Dense,5,48.4
119,Dense,6,42.8
119,Dense,7,40
119,Dense,8,46.2
119,Dense,9,52.3
119,Dense,10,48.9
119,Dense,11,45.4
119,Dense,12,48
121,Open,1,78.9
121,Open,2,90.8
126,Open,1,72.9
126,Open,2,83.5
131,Open,1,66.5
131,Open,2,65.7
131,Open,3,68
148,Open,1,72.6
158,Open,1,72.7
158,Open,2,63.2
158,Open,3,72.4
162,Open,1,69.7
162,Open,2,75.4
162,Open,3,59.2
162,Open,4,70.2
168,Dense,1,44
168,Dense,2,51.2
168,Dense,3,45
168,Dense,4,51.1
168,Dense,5,58
168,Dense,6,58.8
172,Open,1,71.3
172,Open,2,69.7
172,Open,3,88.6
173,Open,1,71.1
173,Open,2,66.1
193,Open,1,71.7
193,Open,2,70.6
193,Open,3,77.8
227,Open,1,81.7
227,Open,2,62.6
227,Open,3,64
240,Open,1,76.6
240,Open,2,75.6
240,Open,3,84.7
240,Open,4,74.9
251,Open,1,55
251,Open,2,72.4
251,Open,3,44.6
251,Open,4,65.8
251,Open,5,58.7
251,Open,6,46.1
251,Open,7,47.4
251,Open,8,57.4
266,Open,1,71.6
266,Open,2,66.5
266,Open,3,70.5
266,Open,4,64.8
266,Open,5,82.6
277,Open,1,73.1
277,Open,2,73.8
277,Open,3,76.5
278,Open,1,72.2
278,Open,2,69.5
278,Open,3,76.5
278,Open,4,59.9
278,Open,5,60.6
