"Year","Type","Mean_CC","N","SE","lower_CI","upper_CI"
2014,"E13",3.5416514756,20,0.140828004701084,3.2468950742263,3.8364078769737
2014,"S08",4.9687620618,20,0.137150303157408,4.68170317822215,5.25582094537785
2014,"S13",5.03656083515,20,0.128780477843753,4.76702019728483,5.30610147301517
2015,"E13",4.30991131495,20,0.180669828445733,3.93176501810726,4.68805761179274
2015,"S08",4.8414660515,20,0.192217984307155,4.43914918665525,5.24378291634476
2015,"S13",5.147971859,20,0.129025022764054,4.87791938273425,5.41802433526575
2016,"E13",3.6042283547,20,0.187808226066418,3.21114121992723,3.99731548947277
2016,"S08",4.4747246068,20,0.276325002441168,3.8963697298562,5.0530794837438
2016,"S13",5.1040055089,20,0.123070985496251,4.84641497585661,5.36159604194339
