,Year,Location,Family,Survival,n,Rate
1,Initial,LA Tech,AGH2,Alive,36,100
2,Initial,LA Tech,AGH2,Dead,0,0
3,Initial,LA Tech,AGH25,Alive,36,100
4,Initial,LA Tech,AGH25,Dead,0,0
5,Initial,LA Tech,AGHS1,Alive,36,100
6,Initial,LA Tech,AGHS1,Dead,0,0
7,Initial,LA Tech,AGHS2,Alive,36,100
8,Initial,LA Tech,AGHS2,Dead,0,0
9,Initial,LA Tech,AGHS3,Alive,36,100
10,Initial,LA Tech,AGHS3,Dead,0,0
11,Initial,LA Tech,AGHS4,Alive,36,100
12,Initial,LA Tech,AGHS4,Dead,0,0
13,Initial,Hill Farm,AGH2,Alive,35,97.22
14,Initial,Hill Farm,AGH2,Dead,1,2.78
15,Initial,Hill Farm,AGH25,Alive,36,100
16,Initial,Hill Farm,AGH25,Dead,0,0
17,Initial,Hill Farm,AGHS1,Alive,35,97.22
18,Initial,Hill Farm,AGHS1,Dead,1,2.78
19,Initial,Hill Farm,AGHS2,Alive,35,97.22
20,Initial,Hill Farm,AGHS2,Dead,1,2.78
21,Initial,Hill Farm,AGHS3,Alive,36,100
22,Initial,Hill Farm,AGHS3,Dead,0,0
23,Initial,Hill Farm,AGHS4,Alive,33,91.67
24,Initial,Hill Farm,AGHS4,Dead,3,8.33
25,First,LA Tech,AGH2,Alive,30,83.33
26,First,LA Tech,AGH2,Dead,6,16.67
27,First,LA Tech,AGH25,Alive,33,91.67
28,First,LA Tech,AGH25,Dead,3,8.33
29,First,LA Tech,AGHS1,Alive,36,100
30,First,LA Tech,AGHS1,Dead,0,0
31,First,LA Tech,AGHS2,Alive,36,100
32,First,LA Tech,AGHS2,Dead,0,0
33,First,LA Tech,AGHS3,Alive,33,91.67
34,First,LA Tech,AGHS3,Dead,3,8.33
35,First,LA Tech,AGHS4,Alive,36,100
36,First,LA Tech,AGHS4,Dead,0,0
37,First,Hill Farm,AGH2,Alive,30,83.33
38,First,Hill Farm,AGH2,Dead,6,16.67
39,First,Hill Farm,AGH25,Alive,31,86.11
40,First,Hill Farm,AGH25,Dead,5,13.89
41,First,Hill Farm,AGHS1,Alive,33,91.67
42,First,Hill Farm,AGHS1,Dead,3,8.33
43,First,Hill Farm,AGHS2,Alive,34,94.44
44,First,Hill Farm,AGHS2,Dead,2,5.56
45,First,Hill Farm,AGHS3,Alive,33,91.67
46,First,Hill Farm,AGHS3,Dead,3,8.33
47,First,Hill Farm,AGHS4,Alive,34,94.44
48,First,Hill Farm,AGHS4,Dead,2,5.56
49,Second,LA Tech,AGH2,Alive,28,77.78
50,Second,LA Tech,AGH2,Dead,8,22.22
51,Second,LA Tech,AGH25,Alive,33,91.67
52,Second,LA Tech,AGH25,Dead,3,8.33
53,Second,LA Tech,AGHS1,Alive,36,100
54,Second,LA Tech,AGHS1,Dead,0,0
55,Second,LA Tech,AGHS2,Alive,36,100
56,Second,LA Tech,AGHS2,Dead,0,0
57,Second,LA Tech,AGHS3,Alive,34,94.44
58,Second,LA Tech,AGHS3,Dead,2,5.56
59,Second,LA Tech,AGHS4,Alive,36,100
60,Second,LA Tech,AGHS4,Dead,0,0
61,Second,Hill Farm,AGH2,Alive,27,75
62,Second,Hill Farm,AGH2,Dead,9,25
63,Second,Hill Farm,AGH25,Alive,32,88.89
64,Second,Hill Farm,AGH25,Dead,4,11.11
65,Second,Hill Farm,AGHS1,Alive,33,91.67
66,Second,Hill Farm,AGHS1,Dead,3,8.33
67,Second,Hill Farm,AGHS2,Alive,33,91.67
68,Second,Hill Farm,AGHS2,Dead,3,8.33
69,Second,Hill Farm,AGHS3,Alive,32,88.89
70,Second,Hill Farm,AGHS3,Dead,4,11.11
71,Second,Hill Farm,AGHS4,Alive,34,94.44
72,Second,Hill Farm,AGHS4,Dead,2,5.56
