Plot,TRT,Year,ID,LAI(log)_2000,LAI(log)_2000G,Openness(%),GapFr
1,2,2020,2020_2_1,0.72,1.09,51.96,50.68
1,2,2021,2021_2_1,1.18,1.04,36,35.45
2,3,2020,2020_3_2,1.03,1.16,40.14,37.1
2,3,2021,2021_3_2,2.55,2.37,19.03,17.22
3,5,2020,2020_5_3,0.69,0.92,48.04,47.24
3,5,2021,2021_5_3,1.34,1.42,31.45,32.11
4,2,2020,2020_2_4,0.33,0.52,60.78,59.91
4,2,2021,2021_2_4,1.77,1.97,32.12,33.98
5,5,2020,2020_5_5,0.25,0.46,63.49,61.74
5,5,2021,2021_5_5,1.54,1.47,29.64,26.63
6,6,2020,2020_6_6,0.79,1.05,44.88,42.75
6,6,2021,2021_6_6,1.15,1.22,33.34,30.48
7,5,2020,2020_5_7,0.52,0.68,55.43,52.28
7,5,2021,2021_5_7,2.55,3.02,27.78,26.38
8,4,2020,2020_4_8,0.59,0.84,51.04,49.45
8,4,2021,2021_4_8,0.84,1.07,44.53,42.73
9,4,2020,2020_4_9,1.04,1.19,40.99,38.36
9,4,2021,2021_4_9,1.81,2.03,31.48,30.21
10,4,2020,2020_4_10,0.9,1.11,40.77,39.5
10,4,2021,2021_4_10,1.43,1.5,30.41,30.66
11,4,2020,2020_4_11,0.42,0.57,57.1,56.02
11,4,2021,2021_4_11,1.04,1.13,39.26,38.55
12,1,2020,2020_1_12,0.47,0.63,53.48,53.76
12,1,2021,2021_1_12,0.93,1.04,45.32,43.97
13,6,2020,2020_6_13,0.43,0.69,56.74,55.07
13,6,2021,2021_6_13,0.82,1.03,42.44,41.74
14,2,2020,2020_2_14,0.58,0.76,54.3,53.99
14,2,2021,2021_2_14,1.17,1.31,34.76,36.18
15,3,2020,2020_3_15,0.38,0.6,59.24,58.06
15,3,2021,2021_3_15,0.98,1.08,44.71,44.19
16,5,2020,2020_5_16,0.39,0.58,59.38,56.59
16,5,2021,2021_5_16,1.17,1.31,37.39,36.41
17,1,2020,2020_1_17,0.89,1.12,39.92,39.52
17,1,2021,2021_1_17,5.41,5.62,5.25,5.46
18,2,2020,2020_2_18,0.24,0.41,66.61,65.55
18,2,2021,2021_2_18,1.95,2.49,35,33.54
19,3,2020,2020_3_19,0.16,0.42,67.79,67.37
19,3,2021,2021_3_19,1.72,2.08,37.48,37.15
20,6,2020,2020_6_20,0.25,0.46,64.02,62.33
20,6,2021,2021_6_20,1.61,1.79,32.77,32.87
21,1,2020,2020_1_21,0.47,0.72,57.58,56.23
21,1,2021,2021_1_21,1.43,1.73,36.83,36.33
22,6,2020,2020_6_22,0.37,0.54,59.33,57.14
22,6,2021,2021_6_22,2.04,2.38,34.62,34.27
23,1,2020,2020_1_23,1.08,1.23,39.11,37.98
23,1,2021,2021_1_23,1.66,1.77,29.33,29.28
24,3,2020,2020_3_24,0.59,0.75,54.17,52.56
24,3,2021,2021_3_24,2.28,2.52,30.44,29.11
