State,Region,Site
OR,Western Cordillera,bacher_creek
WY,West and South Central Semiarid Prairies,Berry
ID,Cold Deserts,big_flat
MT,Western Cordillera,Bison_range
MT,Cold Deserts,Bison_Range
WY,West and South Central Semiarid Prairies,WY-bottom_top_drawer_bunker
MT,West and South Central Semiarid Prairies,Breaks
ID,Western Cordillera,Canyon_Grassland_CCS
ID,Cold Deserts,Canyon_Grassland_CG
ID,Western Cordillera,Canyon_Grassland_TC
ID,Cold Deserts,Canyon_Grassland_TC
ID,Cold Deserts,Canyon_Grassland_TM
ID,Western Cordillera,Canyon_Grassland_WWR
WY,West and South Central Semiarid Prairies,catcreek
ID,Cold Deserts,chipmunk
MT,Western Cordillera,CSKT
MT,West and South Central Semiarid Prairies,decker
MT,West and South Central Semiarid Prairies,FK
MT,West and South Central Semiarid Prairies,Flem
ID,Cold Deserts,four_mile_road
ID,Cold Deserts,gravel_pit
ID,Cold Deserts,highway_20
ID,Cold Deserts,highway_20
WY,Cold Deserts,Hyattville
ID,Cold Deserts,ida_belle
ID,Cold Deserts,jackson_creek
WY,West and South Central Semiarid Prairies,julia-herb
WY,West and South Central Semiarid Prairies,Kane
WY,Cold Deserts,larkspur
WY,West and South Central Semiarid Prairies,Masters_South
MT,Cold Deserts,Missoula_Landfill
MT,Western Cordillera,MPG
WY,West and South Central Semiarid Prairies,Oren
WA,Cold Deserts,Palouse_Prairie_airport
ID,Western Cordillera,Palouse_Prairie_bethel_canyon
ID,Western Cordillera,Palouse_Prairie_driscoll_ridge
ID,Cold Deserts,Palouse_Prairie_jonejack_mountain
WA,Cold Deserts,Palouse_Prairie_kamiak_butte
ID,Western Cordillera,Palouse_Prairie_larson_road
ID,Western Cordillera,Palouse_Prairie_paradise_ridge
WA,Cold Deserts,Palouse_Prairie_rimrock_road
WA,Cold Deserts,Palouse_Prairie_rose_creek
WA,Cold Deserts,Palouse_Prairie_steptoe_butte
ID,Western Cordillera,Palouse_Prairie_tomer_butte
WA,Cold Deserts,Palouse_Prairie_union_flat
OR,Western Cordillera,pine_town_road
WY,Cold Deserts,Pinedale
ID,Cold Deserts,prairie_road
WY,West and South Central Semiarid Prairies,prairiedog
MT,Western Cordillera,Preacher_Creek_unburned
MT,Western Cordillera,Red_Bluff
MT,Western Cordillera,Red_Bluff_climate
MT,Western Cordillera,Red_Bluff_unburned
ID,Western Cordillera,reeds_grove
ID,Western Cordillera,Rinker_Rock
MT,Cold Deserts,Rocky_Hill
WY,Cold Deserts,Saratoga
MT,Western Cordillera,Sas
ID,Cold Deserts,schwenkfelder
WY,West and South Central Semiarid Prairies,Sheridan
OR,Western Cordillera,sparta
MT,West and South Central Semiarid Prairies,spring
MT,Cold Deserts,Strawberry
ID,Cold Deserts,whiskey_hill
WY,West and South Central Semiarid Prairies,wolf
